ticker,date,time,price,volume
PGE,191031,090000,8.366,6
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,2
PGE,191031,090000,8.366,2
PGE,191031,090000,8.366,189
PGE,191031,090000,8.366,7
PGE,191031,090000,8.366,54
PGE,191031,090000,8.366,26
PGE,191031,090000,8.366,66
PGE,191031,090000,8.366,434
PGE,191031,090000,8.366,566
PGE,191031,090000,8.366,607
PGE,191031,090000,8.366,649
PGE,191031,090000,8.366,363
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,200
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,300
PGE,191031,090000,8.366,68
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,211
PGE,191031,090000,8.366,150
PGE,191031,090000,8.366,200
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,155
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,700
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,185
PGE,191031,090000,8.366,115
PGE,191031,090000,8.366,78
PGE,191031,090000,8.366,4
PGE,191031,090000,8.366,1
PGE,191031,090000,8.366,7
PGE,191031,090000,8.366,85
PGE,191031,090000,8.366,50
PGE,191031,090000,8.366,450
PGE,191031,090000,8.366,864
PGE,191031,090000,8.366,686
PGE,191031,090000,8.366,178
PGE,191031,090000,8.366,1822
PGE,191031,090000,8.366,160
PGE,191031,090000,8.366,150
PGE,191031,090000,8.366,200
PGE,191031,090000,8.366,700
PGE,191031,090000,8.366,200
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,210
PGE,191031,090000,8.366,200
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,1001
PGE,191031,090000,8.366,350
PGE,191031,090000,8.366,225
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,255
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,1000
PGE,191031,090000,8.366,100
PGE,191031,090000,8.366,23
PGE,191031,090000,8.366,150
PGE,191031,090000,8.366,500
PGE,191031,090000,8.366,314
PGE,191031,090000,8.366,800
